Order_Number,Order_Date,Ship_Date,Customer_Name_Index,Channel,Currency_Code,Warehouse_Code,Delivery_Region_Index,Product_Description_Index,Order_Quantity,Unit_Selling_Price,Unit_Cost
SO - 0002356,11/2/2020,11/20/2020,47,Wholesale,AUD,AXW291,8,2,12,683.4,512.55
SO - 0002775,11/2/2020,11/16/2020,1,Wholesale,NZD,AXW291,6,4,12,984.9,502.299
SO - 0003343,11/2/2020,11/14/2020,14,Wholesale,NZD,AXW291,93,7,10,5835.7,4026.633
SO - 0004357,11/2/2020,11/20/2020,43,Wholesale,GBP,AXW291,5,11,11,1152.4,737.536
SO - 0004563,11/2/2020,11/11/2020,32,Distributor,NZD,AXW291,98,2,7,5339.9,2189.359
SO - 0004824,11/2/2020,11/14/2020,14,Wholesale,NZD,AXW291,2,1,12,944.7,576.267
SO - 0005745,11/2/2020,11/12/2020,11,Wholesale,USD,AXW291,34,11,10,710.2,497.14
SO - 0006594,11/2/2020,11/17/2020,1,Distributor,USD,AXW291,22,2,12,3845.8,2076.732
SO - 0007522,11/2/2020,11/11/2020,16,Wholesale,NZD,AXW291,49,11,11,1139,763.13
SO - 0007832,11/2/2020,11/10/2020,2,Distributor,GBP,AXW291,66,13,11,1266.3,848.421
SO - 000149,11/3/2020,11/19/2020,4,Export,USD,AXW291,14,5,6,2003.3,921.518
SO - 0004042,11/3/2020,11/18/2020,39,Export,AUD,AXW291,91,1,7,1145.7,801.99
SO - 0005626,11/3/2020,11/6/2020,27,Wholesale,EUR,AXW291,41,14,6,187.6,93.8
SO - 0006690,11/3/2020,11/9/2020,31,Wholesale,USD,AXW291,17,2,6,1112.2,700.686
SO - 0001137,11/4/2020,11/16/2020,19,Distributor,USD,AXW291,9,7,9,3986.5,3268.93
SO - 0001594,11/4/2020,11/12/2020,44,Wholesale,AUD,AXW291,89,10,8,167.5,73.7
SO - 0004508,11/4/2020,11/18/2020,33,Distributor,EUR,AXW291,25,5,5,6545.9,2749.278
SO - 0005383,11/4/2020,11/11/2020,45,Wholesale,EUR,AXW291,54,9,7,877.7,526.62
SO - 0006716,11/4/2020,11/12/2020,50,Distributor,EUR,AXW291,54,9,8,207.7,93.465
SO - 0007178,11/4/2020,11/9/2020,8,Wholesale,NZD,AXW291,17,1,12,1058.6,508.128
SO - 0001469,11/5/2020,11/19/2020,39,Wholesale,USD,AXW291,80,7,8,2532.6,1899.45
SO - 0001607,11/5/2020,11/17/2020,44,Wholesale,USD,AXW291,100,13,9,2666.6,1999.95
SO - 0002362,11/5/2020,11/13/2020,25,Wholesale,AUD,AXW291,6,10,8,3919.5,3292.38
SO - 0004841,11/5/2020,11/15/2020,13,Wholesale,GBP,AXW291,9,7,8,3845.8,2384.396
SO - 0005721,11/5/2020,11/18/2020,25,Wholesale,NZD,AXW291,83,7,12,4006.6,3125.148
SO - 0005983,11/5/2020,11/21/2020,18,Distributor,NZD,AXW291,78,7,8,167.5,70.35
SO - 0006268,11/5/2020,11/18/2020,15,Export,NZD,AXW291,34,7,8,1025.1,656.064
SO - 000843,11/6/2020,11/12/2020,1,Wholesale,NZD,AXW291,65,11,10,964.8,665.712
SO - 0001332,11/6/2020,11/11/2020,3,Distributor,USD,AXW291,17,1,11,1949.7,1559.76
SO - 0001730,11/6/2020,11/24/2020,47,Wholesale,USD,AXW291,99,2,5,1031.8,773.85
SO - 0005332,11/6/2020,11/21/2020,20,Distributor,AUD,AXW291,33,5,5,3323.2,1860.992
SO - 0005620,11/6/2020,11/23/2020,44,Distributor,USD,AXW291,8,8,5,1286.4,630.336
SO - 0007036,11/6/2020,11/20/2020,1,Export,NZD,AXW291,91,13,7,1889.4,831.336
SO - 0007443,11/6/2020,11/22/2020,29,Wholesale,AUD,AXW291,87,11,5,2800.6,2380.51
SO - 000515,11/7/2020,11/11/2020,6,Wholesale,NZD,AXW291,61,7,7,1829.1,1463.28
SO - 0002202,11/7/2020,11/23/2020,8,Wholesale,NZD,AXW291,70,2,9,3879.3,2056.029
SO - 0002495,11/7/2020,11/22/2020,39,Wholesale,USD,AXW291,97,2,5,1748.7,1381.473
SO - 0003832,11/7/2020,11/25/2020,31,Wholesale,EUR,AXW291,24,2,11,1815.7,980.478
SO - 0005707,11/7/2020,11/13/2020,41,Wholesale,EUR,AXW291,6,5,6,5165.7,2737.821
SO - 0007497,11/7/2020,11/17/2020,47,Wholesale,USD,AXW291,92,1,6,4020,2653.2
SO - 0007980,11/7/2020,11/24/2020,13,Distributor,NZD,AXW291,85,2,12,3597.9,1726.992
SO - 000104,11/8/2020,11/26/2020,48,Export,USD,AXW291,19,7,6,2324.9,1464.687
SO - 000175,11/8/2020,11/11/2020,1,Wholesale,NZD,AXW291,72,7,11,2224.4,1579.324
SO - 0002858,11/8/2020,11/18/2020,37,Wholesale,AUD,AXW291,67,12,8,201,104.52
SO - 0004288,11/8/2020,11/19/2020,38,Export,GBP,AXW291,63,11,5,221.1,152.559
SO - 0005962,11/8/2020,11/19/2020,6,Wholesale,AUD,AXW291,3,11,9,5594.5,4083.985
SO - 0007019,11/8/2020,11/25/2020,42,Wholesale,NZD,AXW291,97,11,6,964.8,578.88
SO - 000566,11/9/2020,11/18/2020,5,Wholesale,USD,AXW291,91,7,8,1996.6,898.47
SO - 0002211,11/9/2020,11/17/2020,11,Wholesale,NZD,AXW291,24,7,9,2010,1386.9
SO - 0002474,11/9/2020,11/12/2020,17,Wholesale,GBP,AXW291,50,14,5,1762.1,1215.849
SO - 0002683,11/9/2020,11/24/2020,18,Export,USD,AXW291,88,2,12,2914.5,1311.525
SO - 0003605,11/9/2020,11/21/2020,9,Wholesale,NZD,AXW291,46,1,11,884.4,742.896
SO - 0003703,11/9/2020,11/15/2020,44,Wholesale,NZD,AXW291,100,2,8,247.9,168.572
SO - 0004590,11/9/2020,11/21/2020,20,Distributor,EUR,AXW291,23,1,10,871,688.09
SO - 0005965,11/9/2020,11/23/2020,37,Export,GBP,AXW291,88,14,6,1748.7,944.298
SO - 0006136,11/9/2020,11/12/2020,4,Wholesale,NZD,AXW291,11,1,11,3865.9,2087.586
SO - 0007778,11/9/2020,11/23/2020,2,Distributor,NZD,AXW291,36,9,12,5266.2,2211.804
SO - 0007798,11/9/2020,11/22/2020,31,Distributor,USD,AXW291,45,8,11,1085.4,510.138
SO - 000901,11/10/2020,11/26/2020,26,Distributor,AUD,AXW291,62,5,8,1118.9,469.938
SO - 0002794,11/10/2020,11/18/2020,11,Distributor,USD,AXW291,94,1,9,247.9,99.16
SO - 0005106,11/10/2020,11/18/2020,10,Export,NZD,AXW291,91,10,10,2680,1795.6
SO - 0002966,11/11/2020,11/28/2020,29,Wholesale,NZD,AXW291,90,2,5,1078.7,755.09
SO - 0004629,11/11/2020,11/25/2020,49,Wholesale,NZD,AXW291,16,2,11,810.7,680.988
SO - 0004803,11/11/2020,11/14/2020,28,Wholesale,GBP,AXW291,88,2,8,2432.1,1507.902
SO - 0005296,11/11/2020,11/16/2020,24,Wholesale,NZD,AXW291,69,14,7,1005,713.55
SO - 0006082,11/11/2020,11/16/2020,25,Distributor,USD,AXW291,9,1,9,1092.1,578.813
SO - 0006776,11/11/2020,11/24/2020,45,Wholesale,USD,AXW291,31,9,7,214.4,96.48
SO - 000318,11/12/2020,11/16/2020,22,Distributor,NZD,AXW291,53,5,8,3852.5,2003.3
SO - 000660,11/12/2020,11/28/2020,32,Wholesale,AUD,AXW291,64,5,5,3725.2,2570.388
SO - 0003382,11/12/2020,11/24/2020,35,Wholesale,NZD,AXW291,71,1,12,1038.5,778.875
SO - 0004192,11/12/2020,11/21/2020,34,Wholesale,AUD,AXW291,30,1,11,1011.7,485.616
SO - 0005446,11/12/2020,11/25/2020,36,Wholesale,USD,AXW291,30,1,10,1132.3,905.84
SO - 0005621,11/12/2020,11/17/2020,16,Distributor,NZD,AXW291,42,2,11,6023.3,3915.145
SO - 0001200,11/13/2020,11/19/2020,32,Wholesale,NZD,AXW291,36,2,12,1306.5,888.42
SO - 0001216,11/13/2020,11/29/2020,21,Distributor,USD,AXW291,64,7,8,1118.9,581.828
SO - 0003243,11/13/2020,11/22/2020,2,Wholesale,USD,AXW291,66,11,6,1105.5,740.685
SO - 0006110,11/13/2020,11/28/2020,10,Wholesale,NZD,AXW291,40,5,8,234.5,154.77
SO - 000594,11/14/2020,12/1/2020,35,Export,NZD,AXW291,48,4,10,201,96.48
SO - 0006299,11/14/2020,11/27/2020,28,Distributor,EUR,AXW291,32,1,6,3705.1,2482.417
SO - 0006318,11/14/2020,11/27/2020,43,Wholesale,AUD,AXW291,76,1,7,737,574.86
SO - 000151,11/15/2020,11/19/2020,19,Export,EUR,AXW291,94,5,6,2278,1822.4
SO - 000570,11/15/2020,12/1/2020,8,Distributor,USD,AXW291,57,7,11,167.5,125.625
SO - 0001890,11/15/2020,12/3/2020,33,Wholesale,AUD,AXW291,13,5,6,1936.3,1490.951
SO - 0005059,11/15/2020,11/22/2020,11,Wholesale,NZD,AXW291,26,7,8,6090.3,2618.829
SO - 0005289,11/15/2020,11/29/2020,43,Distributor,USD,AXW291,88,11,5,1038.5,830.8
SO - 0005486,11/15/2020,11/24/2020,30,Wholesale,GBP,AXW291,66,11,6,2606.3,1485.591
SO - 000262,11/16/2020,11/28/2020,31,Wholesale,NZD,AXW291,35,7,8,1105.5,652.245
SO - 0003593,11/16/2020,11/29/2020,42,Wholesale,USD,AXW291,39,11,5,3926.2,2866.126
SO - 0004478,11/16/2020,11/27/2020,1,Wholesale,GBP,AXW291,35,13,8,750.4,637.84
SO - 0007090,11/16/2020,11/24/2020,50,Export,USD,AXW291,96,13,5,2345,1172.5
SO - 0007300,11/16/2020,11/26/2020,26,Wholesale,AUD,AXW291,63,10,12,2539.3,1244.257
SO - 000126,11/17/2020,11/29/2020,46,Wholesale,USD,AXW291,29,7,11,174.2,95.81
SO - 000891,11/17/2020,11/23/2020,21,Export,AUD,AXW291,72,1,6,1829.1,987.714
SO - 0001254,11/17/2020,11/27/2020,22,Distributor,NZD,AXW291,86,9,12,1916.2,823.966
SO - 0001444,11/17/2020,11/30/2020,24,Distributor,NZD,AXW291,10,11,11,1085.4,596.97
SO - 0002625,11/17/2020,11/23/2020,22,Export,EUR,AXW291,59,5,6,1072,503.84
SO - 0004107,11/17/2020,11/27/2020,40,Distributor,USD,AXW291,94,7,12,4020,2653.2
SO - 0004514,11/17/2020,11/25/2020,26,Wholesale,USD,AXW291,12,2,11,2539.3,2082.226
SO - 0004577,11/17/2020,11/26/2020,46,Wholesale,NZD,AXW291,81,7,7,1715.2,943.36
SO - 0005251,11/17/2020,11/21/2020,1,Export,USD,AXW291,22,1,5,837.5,502.5
SO - 0005445,11/17/2020,12/5/2020,34,Export,NZD,AXW291,100,1,5,2599.6,1039.84
SO - 0007284,11/17/2020,12/5/2020,28,Export,AUD,AXW291,32,5,7,1152.4,898.872
SO - 0001739,11/18/2020,11/25/2020,8,Wholesale,USD,AXW291,34,7,11,2633.1,2238.135
SO - 0002475,11/18/2020,12/1/2020,36,Distributor,EUR,AXW291,52,2,9,5628,4333.56
SO - 0004141,11/18/2020,11/30/2020,36,Export,AUD,AXW291,72,14,7,6485.6,2723.952
SO - 0005299,11/18/2020,11/30/2020,8,Distributor,GBP,AXW291,56,7,7,5909.4,4432.05
SO - 0006346,11/18/2020,11/30/2020,46,Export,USD,AXW291,68,2,10,1185.9,640.386
SO - 0007466,11/18/2020,12/5/2020,4,Export,USD,AXW291,54,2,7,3296.4,2340.444
SO - 0007866,11/18/2020,11/28/2020,29,Wholesale,NZD,AXW291,76,13,7,3993.2,3114.696
SO - 000749,11/19/2020,11/27/2020,3,Distributor,NZD,AXW291,42,5,5,1125.6,529.032
SO - 000995,11/19/2020,11/22/2020,44,Wholesale,NZD,AXW291,42,5,7,1098.8,604.34
SO - 0001487,11/19/2020,11/24/2020,8,Distributor,EUR,AXW291,62,7,12,1031.8,815.122
SO - 0002008,11/19/2020,11/28/2020,27,Distributor,GBP,AXW291,88,5,9,783.9,470.34
SO - 0002895,11/19/2020,12/2/2020,38,Wholesale,AUD,AXW291,17,2,6,241.2,115.776
SO - 0005698,11/19/2020,11/23/2020,50,Distributor,NZD,AXW291,7,2,11,207.7,114.235
SO - 000153,11/20/2020,12/3/2020,8,Wholesale,NZD,AXW291,25,7,11,3926.2,3062.436
SO - 0001538,11/20/2020,12/7/2020,9,Export,USD,AXW291,48,1,6,3993.2,3354.288
SO - 0005600,11/20/2020,11/27/2020,48,Wholesale,USD,AXW291,19,1,7,971.5,505.18
SO - 0006270,11/20/2020,12/4/2020,46,Wholesale,NZD,AXW291,78,14,7,1031.8,474.628
SO - 0007209,11/20/2020,11/30/2020,37,Wholesale,NZD,AXW291,9,2,10,2499.1,2099.244
SO - 0007721,11/20/2020,11/29/2020,37,Distributor,EUR,AXW291,34,9,9,2452.2,1716.54
SO - 0007922,11/20/2020,12/5/2020,12,Wholesale,NZD,AXW291,72,10,12,1078.7,744.303
SO - 000105,11/21/2020,12/6/2020,49,Wholesale,USD,AXW291,15,7,6,1822.4,1476.144
SO - 0005152,11/21/2020,12/2/2020,38,Wholesale,NZD,AXW291,36,7,5,1782.2,1354.472
SO - 0005634,11/21/2020,12/8/2020,46,Distributor,NZD,AXW291,63,7,6,3872.6,1703.944
SO - 0006137,11/21/2020,12/3/2020,29,Export,AUD,AXW291,78,2,5,2666.6,1093.306
SO - 0007655,11/21/2020,12/1/2020,30,Wholesale,NZD,AXW291,43,7,11,1025.1,871.335
SO - 0007850,11/21/2020,12/3/2020,12,Distributor,USD,AXW291,39,9,10,2304.8,1405.928
SO - 0007879,11/21/2020,12/7/2020,50,Wholesale,AUD,AXW291,20,1,8,3999.9,2759.931
SO - 000317,11/22/2020,11/25/2020,18,Distributor,AUD,AXW291,38,7,6,2881,1584.55
SO - 0005094,11/22/2020,12/7/2020,6,Distributor,NZD,AXW291,89,7,9,1005,673.35
SO - 0005671,11/22/2020,12/7/2020,15,Wholesale,AUD,AXW291,42,7,12,1319.9,1042.721
SO - 0007028,11/22/2020,11/28/2020,44,Distributor,NZD,AXW291,9,7,12,3993.2,3034.832
SO - 0007058,11/22/2020,12/3/2020,10,Wholesale,GBP,AXW291,99,4,11,1031.8,567.49
SO - 0007415,11/22/2020,11/30/2020,28,Wholesale,AUD,AXW291,46,2,5,1132.3,826.579
SO - 0008074,11/22/2020,12/2/2020,33,Export,USD,AXW291,74,7,6,6545.9,5498.556
SO - 0001290,11/23/2020,11/27/2020,30,Distributor,USD,AXW291,29,13,9,891.1,650.503
SO - 0003184,11/23/2020,12/3/2020,29,Export,NZD,AXW291,22,2,7,1943,1398.96
SO - 0003573,11/23/2020,12/7/2020,41,Wholesale,AUD,AXW291,62,9,9,857.6,428.8
SO - 0004003,11/23/2020,11/26/2020,25,Distributor,USD,AXW291,97,5,12,2572.8,1183.488
SO - 0005366,11/23/2020,12/9/2020,16,Wholesale,EUR,AXW291,73,5,12,6559.3,3279.65
SO - 0007572,11/23/2020,12/2/2020,23,Wholesale,AUD,AXW291,78,11,12,1065.3,458.079
SO - 0001836,11/24/2020,12/9/2020,12,Export,NZD,AXW291,55,2,8,857.6,626.048
SO - 0003557,11/24/2020,12/4/2020,14,Distributor,AUD,AXW291,64,2,8,1078.7,679.581
SO - 0004309,11/24/2020,11/28/2020,9,Export,NZD,AXW291,60,11,11,1025.1,738.072
SO - 0004486,11/24/2020,12/4/2020,45,Distributor,NZD,AXW291,69,1,11,2519.2,1889.4
SO - 0004728,11/24/2020,12/2/2020,42,Distributor,NZD,AXW291,49,11,10,1118.9,760.852
SO - 0005247,11/24/2020,12/2/2020,17,Wholesale,AUD,AXW291,7,11,12,1728.6,1019.874
SO - 0001725,11/25/2020,12/9/2020,50,Wholesale,NZD,AXW291,83,14,8,6525.8,2806.094
SO - 0002893,11/25/2020,12/6/2020,6,Wholesale,EUR,AXW291,73,13,9,1688.4,861.084
SO - 0003701,11/25/2020,12/2/2020,31,Wholesale,USD,AXW291,43,2,10,234.5,136.01
SO - 0007206,11/25/2020,11/30/2020,41,Wholesale,USD,AXW291,36,12,12,1159.1,579.55
SO - 0007607,11/25/2020,12/1/2020,30,Distributor,NZD,AXW291,87,11,11,2860.9,1316.014
SO - 0007999,11/25/2020,11/30/2020,35,Distributor,AUD,AXW291,13,13,11,777.2,606.216
SO - 0008090,11/25/2020,12/9/2020,42,Wholesale,USD,AXW291,96,1,10,1072,804
SO - 000744,11/26/2020,12/5/2020,22,Export,NZD,AXW291,81,2,9,5246.1,3882.114
SO - 0002470,11/26/2020,12/10/2020,24,Distributor,NZD,AXW291,67,7,6,1748.7,786.915
SO - 0003265,11/26/2020,12/2/2020,45,Wholesale,NZD,AXW291,55,7,8,3973.1,1708.433
SO - 0003421,11/26/2020,12/12/2020,14,Wholesale,USD,AXW291,43,13,11,2485.7,1640.562
SO - 0005151,11/26/2020,12/8/2020,34,Distributor,NZD,AXW291,42,1,6,857.6,531.712
SO - 0005416,11/26/2020,12/8/2020,30,Wholesale,USD,AXW291,1,11,12,1038.5,519.25
SO - 0006046,11/26/2020,12/1/2020,48,Wholesale,USD,AXW291,27,7,5,1835.8,1542.072
SO - 0007584,11/26/2020,12/4/2020,42,Distributor,USD,AXW291,34,7,8,1788.9,966.006
SO - 0007754,11/26/2020,12/6/2020,50,Distributor,USD,AXW291,78,13,9,3999.9,2719.932
SO - 0001139,11/27/2020,12/12/2020,37,Wholesale,AUD,AXW291,95,11,9,221.1,141.504
SO - 0001951,11/27/2020,12/2/2020,38,Wholesale,NZD,AXW291,62,6,10,6197.5,3594.55
SO - 0004715,11/27/2020,12/13/2020,32,Wholesale,USD,AXW291,96,3,10,234.5,119.595
SO - 000700,11/28/2020,12/1/2020,4,Distributor,NZD,AXW291,10,5,10,944.7,462.903
SO - 0001659,11/28/2020,12/12/2020,47,Distributor,NZD,AXW291,65,7,10,2291.4,1191.528
SO - 0003579,11/28/2020,12/4/2020,32,Wholesale,GBP,AXW291,74,1,11,1092.1,928.285
SO - 0004019,11/28/2020,12/1/2020,19,Wholesale,NZD,AXW291,25,7,5,850.9,570.103
SO - 0005412,11/28/2020,12/12/2020,21,Export,NZD,AXW291,59,1,7,757.1,499.686
SO - 0007050,11/28/2020,12/13/2020,8,Wholesale,NZD,AXW291,34,11,9,254.6,152.76
SO - 0007756,11/28/2020,12/2/2020,30,Wholesale,AUD,AXW291,45,1,7,703.5,323.61
SO - 0001109,11/29/2020,12/15/2020,12,Distributor,USD,AXW291,99,4,11,1072,707.52
SO - 0003045,11/29/2020,12/13/2020,27,Distributor,AUD,AXW291,98,9,10,194.3,101.036
SO - 0003921,11/29/2020,12/5/2020,46,Wholesale,GBP,AXW291,62,7,9,1118.9,648.962
SO - 0005889,11/29/2020,12/11/2020,31,Wholesale,USD,AXW291,54,5,12,2532.6,1696.842
SO - 0007370,11/29/2020,12/3/2020,28,Distributor,USD,AXW291,16,1,5,3859.2,2469.888
SO - 0007780,11/29/2020,12/17/2020,40,Wholesale,NZD,AXW291,38,7,10,3966.4,2181.52
SO - 000572,11/30/2020,12/12/2020,28,Wholesale,USD,AXW291,96,6,7,2546,1018.4
SO - 0001412,11/30/2020,12/5/2020,7,Distributor,USD,AXW291,18,11,10,261.3,143.715
SO - 0005796,11/30/2020,12/7/2020,49,Wholesale,AUD,AXW291,59,2,10,1051.9,788.925
SO - 0005964,11/30/2020,12/5/2020,3,Wholesale,NZD,AXW291,36,11,8,5688.3,2673.501
SO - 0007871,11/30/2020,12/17/2020,46,Wholesale,NZD,AXW291,46,2,12,1058.6,846.88
SO - 000569,12/1/2020,12/8/2020,1,Distributor,EUR,AXW291,60,5,5,207.7,87.234
SO - 0001922,12/1/2020,12/18/2020,36,Wholesale,NZD,AXW291,84,11,6,221.1,159.192
SO - 0004114,12/1/2020,12/11/2020,35,Distributor,AUD,AXW291,28,1,6,1319.9,950.328
SO - 0007341,12/1/2020,12/14/2020,50,Distributor,USD,AXW291,87,13,11,2291.4,1214.442
SO - 000628,12/2/2020,12/16/2020,41,Distributor,USD,AXW291,9,1,9,241.2,180.9
SO - 000853,12/2/2020,12/5/2020,17,Wholesale,AUD,AXW291,38,5,7,2532.6,1595.538
SO - 0001099,12/2/2020,12/12/2020,3,Wholesale,USD,AXW291,84,7,8,6150.6,3505.842
SO - 0001990,12/2/2020,12/6/2020,23,Distributor,NZD,AXW291,88,11,6,3202.6,1473.196
SO - 0002950,12/2/2020,12/19/2020,34,Wholesale,NZD,AXW291,19,11,11,3865.9,1932.95
SO - 0003876,12/2/2020,12/18/2020,36,Distributor,NZD,AXW291,92,13,8,1159.1,544.777
SO - 0004239,12/2/2020,12/14/2020,7,Export,AUD,AXW291,95,7,7,3095.4,2166.78
SO - 000463,12/3/2020,12/19/2020,1,Distributor,NZD,AXW291,61,13,10,1815.7,944.164
SO - 0001257,12/3/2020,12/19/2020,3,Distributor,EUR,AXW291,12,7,11,6016.6,4392.118
SO - 0002216,12/3/2020,12/13/2020,4,Distributor,NZD,AXW291,10,2,11,984.9,492.45
SO - 0002846,12/3/2020,12/6/2020,45,Wholesale,NZD,AXW291,78,5,9,3865.9,2628.812
SO - 0003405,12/3/2020,12/20/2020,8,Wholesale,NZD,AXW291,35,7,10,5721.8,3719.17
SO - 0004302,12/3/2020,12/16/2020,41,Wholesale,AUD,AXW291,51,7,5,1011.7,455.265
SO - 0006068,12/3/2020,12/6/2020,48,Wholesale,EUR,AXW291,34,5,7,2458.9,1303.217
SO - 0006814,12/3/2020,12/14/2020,26,Wholesale,NZD,AXW291,8,5,12,187.6,155.708
SO - 000899,12/4/2020,12/22/2020,26,Distributor,NZD,AXW291,64,5,10,1031.8,474.628
SO - 0004015,12/4/2020,12/11/2020,17,Export,AUD,AXW291,34,1,12,2412,1616.04
SO - 0004235,12/4/2020,12/20/2020,31,Wholesale,NZD,AXW291,2,7,9,4006.6,1802.97
SO - 0005905,12/4/2020,12/9/2020,40,Distributor,USD,AXW291,78,2,8,1011.7,576.669
SO - 0007013,12/4/2020,12/13/2020,35,Wholesale,AUD,AXW291,48,7,7,737,368.5
SO - 0007990,12/4/2020,12/17/2020,47,Wholesale,NZD,AXW291,13,2,8,3993.2,2395.92
SO - 0008006,12/4/2020,12/18/2020,29,Wholesale,NZD,AXW291,86,2,6,3825.7,3251.845
SO - 000666,12/5/2020,12/11/2020,22,Wholesale,NZD,AXW291,84,2,11,5782.1,4394.396
SO - 000937,12/5/2020,12/18/2020,31,Distributor,AUD,AXW291,90,7,7,3946.3,1973.15
SO - 0001525,12/5/2020,12/13/2020,17,Distributor,GBP,AXW291,45,11,6,2438.8,1999.816
SO - 0002075,12/5/2020,12/11/2020,27,Distributor,AUD,AXW291,53,10,5,991.6,743.7
SO - 0002482,12/5/2020,12/12/2020,10,Distributor,NZD,AXW291,25,1,10,911.2,564.944
SO - 0003196,12/5/2020,12/10/2020,36,Distributor,NZD,AXW291,64,5,5,3959.7,2811.387
SO - 0003492,12/5/2020,12/16/2020,47,Wholesale,AUD,AXW291,53,11,7,1748.7,804.402
SO - 0004638,12/5/2020,12/9/2020,45,Distributor,NZD,AXW291,58,13,12,1132.3,792.61
SO - 0006222,12/5/2020,12/12/2020,21,Export,NZD,AXW291,44,12,12,3912.8,1995.528
SO - 0006747,12/5/2020,12/15/2020,5,Export,NZD,AXW291,27,2,11,2505.8,1002.32
SO - 0007154,12/5/2020,12/17/2020,14,Wholesale,USD,AXW291,30,9,10,6070.2,2974.398
SO - 0001153,12/6/2020,12/16/2020,26,Wholesale,USD,AXW291,57,2,6,5715.1,4343.476
SO - 0002316,12/6/2020,12/12/2020,43,Wholesale,NZD,AXW291,82,2,11,3611.3,2780.701
SO - 0003335,12/6/2020,12/22/2020,19,Wholesale,NZD,AXW291,36,7,5,194.3,118.523
SO - 0003339,12/6/2020,12/16/2020,36,Wholesale,NZD,AXW291,55,2,8,2237.8,1297.924
SO - 0004398,12/6/2020,12/12/2020,1,Distributor,USD,AXW291,44,7,10,3959.7,1940.253
SO - 0004940,12/6/2020,12/16/2020,4,Distributor,NZD,AXW291,60,11,11,3906.1,2226.477
SO - 0005575,12/6/2020,12/18/2020,38,Wholesale,AUD,AXW291,8,11,9,1842.5,1068.65
SO - 0001470,12/7/2020,12/23/2020,23,Distributor,NZD,AXW291,39,10,9,958.1,785.642
SO - 0001747,12/7/2020,12/12/2020,20,Distributor,EUR,AXW291,17,5,11,2847.5,1708.5
SO - 0002390,12/7/2020,12/24/2020,49,Wholesale,NZD,AXW291,91,5,8,1159.1,857.734
SO - 0003306,12/7/2020,12/19/2020,48,Wholesale,USD,AXW291,90,7,6,3899.4,3314.49
SO - 0004594,12/7/2020,12/20/2020,36,Wholesale,USD,AXW291,95,2,9,268,147.4
SO - 0006604,12/7/2020,12/10/2020,25,Wholesale,USD,AXW291,67,5,12,1943,1632.12
SO - 0002680,12/8/2020,12/26/2020,38,Distributor,EUR,AXW291,7,11,5,5266.2,2369.79
SO - 0003717,12/8/2020,12/15/2020,7,Export,EUR,AXW291,64,11,8,1045.2,533.052
SO - 0004543,12/8/2020,12/15/2020,3,Wholesale,NZD,AXW291,35,7,12,6184.1,3772.301
SO - 0005936,12/8/2020,12/26/2020,14,Wholesale,USD,AXW291,93,1,12,1051.9,599.583
SO - 0006488,12/8/2020,12/25/2020,2,Export,NZD,AXW291,22,8,7,2304.8,1682.504
SO - 0007829,12/8/2020,12/19/2020,16,Wholesale,USD,AXW291,71,11,9,2479,1437.82
SO - 000755,12/9/2020,12/25/2020,42,Wholesale,USD,AXW291,87,1,8,5587.8,3967.338
SO - 000766,12/9/2020,12/15/2020,27,Distributor,GBP,AXW291,38,11,12,3839.1,2725.761
SO - 0002505,12/9/2020,12/20/2020,18,Wholesale,GBP,AXW291,9,7,11,1125.6,607.824
SO - 000746,12/10/2020,12/25/2020,17,Export,AUD,AXW291,67,13,11,3819,2673.3
SO - 0006392,12/10/2020,12/23/2020,31,Export,NZD,AXW291,45,2,12,797.3,518.245
SO - 0001423,12/11/2020,12/14/2020,24,Wholesale,NZD,AXW291,55,1,5,1025.1,563.805
SO - 0003735,12/11/2020,12/20/2020,29,Export,USD,AXW291,17,13,7,1038.5,664.64
SO - 0006149,12/11/2020,12/28/2020,50,Export,GBP,AXW291,95,1,7,2458.9,1254.039
SO - 0006219,12/11/2020,12/28/2020,38,Wholesale,NZD,AXW291,34,1,5,3544.3,1524.049
SO - 0007288,12/11/2020,12/16/2020,35,Wholesale,USD,AXW291,96,5,6,1943,893.78
SO - 0007433,12/11/2020,12/27/2020,43,Export,USD,AXW291,94,13,7,241.2,154.368
SO - 0001679,12/12/2020,12/15/2020,28,Export,NZD,AXW291,88,10,11,1829.1,859.677
SO - 0005323,12/12/2020,12/22/2020,49,Distributor,NZD,AXW291,9,1,8,1922.9,999.908
SO - 0005914,12/12/2020,12/15/2020,16,Export,AUD,AXW291,27,7,10,1212.7,1006.541
SO - 0006197,12/12/2020,12/29/2020,7,Export,AUD,AXW291,50,2,7,911.2,400.928
SO - 0007153,12/12/2020,12/29/2020,30,Wholesale,AUD,AXW291,98,5,10,4013.3,3210.64
SO - 000671,12/13/2020,12/30/2020,20,Distributor,AUD,AXW291,77,1,5,1775.5,1225.095
SO - 000903,12/13/2020,12/26/2020,13,Wholesale,NZD,AXW291,66,13,12,810.7,551.276
SO - 0001345,12/13/2020,12/24/2020,8,Wholesale,USD,AXW291,39,2,9,5473.9,2846.428
SO - 0002767,12/13/2020,12/21/2020,22,Export,USD,AXW291,42,13,8,1909.5,1489.41
SO - 0003958,12/13/2020,12/21/2020,47,Wholesale,USD,AXW291,34,1,9,1139,854.25
SO - 0004065,12/13/2020,12/27/2020,30,Distributor,USD,AXW291,45,7,7,850.9,433.959
